EnrollMent,Name,Gender,Contact Number,City,OS,DMATHS,OOPJ,PEM,COA
180280114077,manita,f,867-703-9967,Amreli,22,29,29,41,34
180280114168,ashok,m,155-551-8351,Bhavnagar,40,46,50,35,28
180280114020,deepak kumar,m,954-528-0862,Vadodara,53,27,46,23,60
180280112647,jasvindir,m,307-557-7574,Gandhinagar,21,46,68,50,57
180280114124,sazya,f,462-571-0548,Bhavnagar,36,16,55,17,37
180280113409,sagar,m,517-186-7727,Surat,46,45,44,36,50
180280111928,manjeet,m,903-708-2669,Vadodara,52,17,48,62,28
180280110402,heena,f,728-258-2677,Gandhinagar,64,66,62,68,60
180280113528,priyanka,f,333-098-1457,Rajkot,61,66,15,53,63
180280111157,mohan,m,176-608-8731,Gandhinagar,54,49,25,51,38
180280110191,nisha,f,680-008-2511,Gandhinagar,67,61,68,65,69
180280112151,ravindra singh,m,725-513-6043,Ahmedabad,30,22,50,45,61
180280114499,baljeet kaur,f,179-739-7032,Bhavnagar,49,65,61,35,26
180280110784,mukesh,m,841-347-5700,Bhuj,15,17,64,65,31
180280111289,ganesh singh,m,101-796-3865,Amreli,21,31,65,69,61
180280112082,nand lal,m,362-734-7574,Surat,68,68,69,42,41
180280111575,savita patel,f,953-494-5935,Amreli,70,38,50,64,44
180280114110,kela kanwar,f,215-618-5873,Surat,41,48,51,26,16
180280112264,shripal,m,716-004-9915,Bhuj,64,49,54,69,20
180280112479,meenu,f,988-678-9529,Ahmedabad,51,15,59,25,24
180280112480,ankit,m,905-499-0835,Ahmedabad,55,41,37,36,53
180280112332,sabeena,f,863-718-7347,Bhavnagar,61,26,32,69,69
180280113683,sheetal verma,f,466-873-0650,Rajkot,26,60,49,62,20
180280113517,sajid chummu,m,257-693-1188,Amreli,47,66,54,44,21
180280111848,manish,m,780-875-0279,Rajkot,17,42,18,23,34
180280112616,anjali,f,357-249-0708,Gandhinagar,35,18,19,66,23
180280111951,geeta rani barman,f,855-255-1960,Ahmedabad,53,64,67,18,57
180280110702,rahul,m,294-859-8236,Amreli,30,26,60,51,37
180280114610,rajender kumar,m,432-584-0024,Gandhinagar,39,20,52,61,36
180280113823,kiran suraj prashad,f,312-070-6419,Rajkot,56,34,20,69,58
180280115038,vinit katariya,m,956-748-9029,Rajkot,66,70,70,68,63
180280113073,rupendra ubas,m,369-689-6468,Gandhinagar,35,70,57,44,33
180280110843,sunita,f,780-157-0367,Ahmedabad,33,51,29,35,66
180280114584,warish,m,994-216-7770,Amreli,46,29,47,29,21
180280113005,akash,m,806-427-1363,Vadodara,42,36,17,25,38
180280114208,deeksha,f,164-534-6281,Ahmedabad,51,45,61,68,69
180280111108,aaysha,f,925-541-8499,Bhavnagar,25,51,17,18,60
180280114426,sonu,m,897-409-3354,Bhuj,32,20,27,70,58
180280112137,ruksana,f,146-151-1676,Vadodara,56,56,28,17,25
180280111163,sunita,f,730-124-5721,Ahmedabad,27,61,60,64,65
180280111548,altaf,m,251-499-4094,Ahmedabad,26,33,55,66,69
180280111977,pawan kumar,m,385-397-7692,Gandhinagar,40,39,65,58,56
180280111214,anuradha,f,374-329-9926,Surat,57,63,28,29,53
180280112711,dwarika lal,m,514-042-5850,Bhuj,46,22,43,52,67
180280110726,shweta gupta,f,282-809-3026,Surat,60,25,41,30,52
180280115247,azaz,m,615-173-5517,Gandhinagar,67,67,67,63,68
180280111472,nosi,f,297-574-0776,Bhavnagar,65,42,52,29,18
